"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","0,0060","0,0060","0,0060","0,0060","","0,00%"
"28.12.2023","0,0060","0,0060","0,0060","0,0060","","0,00%"
"27.12.2023","0,0060","0,0060","0,0060","0,0060","","0,00%"
"26.12.2023","0,0060","0,0060","0,0060","0,0060","","-1,23%"
"25.12.2023","0,0061","0,0061","0,0061","0,0061","","1,25%"
"22.12.2023","0,0060","0,0061","0,0061","0,0060","","-1,64%"
"21.12.2023","0,0061","0,0061","0,0061","0,0060","","0,00%"
"20.12.2023","0,0061","0,0061","0,0061","0,0060","","0,00%"
"19.12.2023","0,0061","0,0061","0,0061","0,0060","","0,00%"
"18.12.2023","0,0061","0,0062","0,0062","0,0061","","-1,61%"
"15.12.2023","0,0062","0,0061","0,0062","0,0061","","1,64%"
"14.12.2023","0,0061","0,0061","0,0061","0,0061","","0,00%"
"13.12.2023","0,0061","0,0136","0,0136","0,0061","","-54,44%"
"12.12.2023","0,0135","0,0135","0,0136","0,0134","","0,00%"
"11.12.2023","0,0135","0,0135","0,0136","0,0135","","0,00%"
"08.12.2023","0,0135","0,0135","0,0136","0,0134","","0,00%"
"07.12.2023","0,0135","0,0135","0,0135","0,0134","","0,00%"
"06.12.2023","0,0135","0,0136","0,0136","0,0134","","-0,74%"
"05.12.2023","0,0136","0,0136","0,0137","0,0136","","0,00%"
"04.12.2023","0,0136","0,0135","0,0137","0,0135","","0,74%"
"01.12.2023","0,0135","0,0137","0,0137","0,0135","","-0,74%"
"30.11.2023","0,0136","0,0136","0,0137","0,0136","","0,00%"
"29.11.2023","0,0136","0,0136","0,0136","0,0135","","0,74%"
"28.11.2023","0,0135","0,0136","0,0137","0,0135","","-0,74%"
"27.11.2023","0,0136","0,0137","0,0137","0,0136","","-0,73%"
"24.11.2023","0,0137","0,0137","0,0137","0,0137","","0,00%"
"23.11.2023","0,0137","0,0138","0,0138","0,0137","","-0,72%"
"22.11.2023","0,0138","0,0138","0,0138","0,0137","","0,00%"
"21.11.2023","0,0138","0,0137","0,0138","0,0137","","0,73%"
"20.11.2023","0,0137","0,0139","0,0139","0,0137","","-1,44%"
"17.11.2023","0,0139","0,0138","0,0139","0,0137","","0,72%"
"16.11.2023","0,0138","0,0138","0,0138","0,0137","","0,00%"
"15.11.2023","0,0138","0,0139","0,0139","0,0138","","-0,72%"
"14.11.2023","0,0139","0,0140","0,0140","0,0138","","-0,71%"
"13.11.2023","0,0140","0,0140","0,0141","0,0140","","0,00%"
"10.11.2023","0,0140","0,0141","0,0142","0,0140","","-0,71%"
"09.11.2023","0,0141","0,0140","0,0141","0,0140","","0,71%"
"08.11.2023","0,0140","0,0139","0,0141","0,0139","","0,72%"
"07.11.2023","0,0139","0,0139","0,0140","0,0139","","-0,71%"
"06.11.2023","0,0140","0,0140","0,0140","0,0139","","0,00%"
"03.11.2023","0,0140","0,0142","0,0142","0,0139","","-0,71%"
"02.11.2023","0,0141","0,0142","0,0142","0,0142","","-0,70%"
"01.11.2023","0,0142","0,0144","0,0144","0,0141","","-1,39%"
"31.10.2023","0,0144","0,0144","0,0145","0,0143","","0,00%"
"30.10.2023","0,0144","0,0143","0,0145","0,0142","","0,70%"
"27.10.2023","0,0143","0,0143","0,0143","0,0141","","0,70%"
