"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","0,6832","0,6846","0,6846","0,6822","","0,10%"
"28.12.2023","0,6825","0,6769","0,6853","0,6769","","0,98%"
"27.12.2023","0,6759","0,6738","0,6779","0,6718","","0,30%"
"26.12.2023","0,6739","0,6812","0,6812","0,6738","","-1,04%"
"25.12.2023","0,6810","0,6814","0,6817","0,6809","","0,01%"
"22.12.2023","0,6809","0,6838","0,6864","0,6797","","-0,47%"
"21.12.2023","0,6841","0,6887","0,6887","0,6812","","-0,68%"
"20.12.2023","0,6888","0,6823","0,6894","0,6804","","0,91%"
"19.12.2023","0,6826","0,6862","0,6872","0,6804","","-0,54%"
"18.12.2023","0,6863","0,6941","0,6941","0,6855","","-1,04%"
"15.12.2023","0,6935","0,6905","0,6964","0,6899","","0,33%"
"14.12.2023","0,6912","0,6897","0,6917","0,6834","","0,79%"
"13.12.2023","0,6858","0,6920","0,6938","0,6852","","-0,82%"
"12.12.2023","0,6915","0,6884","0,6931","0,6867","","0,48%"
"11.12.2023","0,6882","0,6876","0,6910","0,6854","","0,03%"
"08.12.2023","0,6880","0,6869","0,6890","0,6834","","0,17%"
"07.12.2023","0,6868","0,6848","0,6872","0,6819","","0,31%"
"06.12.2023","0,6847","0,6898","0,6898","0,6827","","-0,74%"
"05.12.2023","0,6898","0,6923","0,6955","0,6888","","-0,32%"
"04.12.2023","0,6920","0,6847","0,6935","0,6834","","1,26%"
"01.12.2023","0,6834","0,6897","0,6913","0,6817","","-0,88%"
"30.11.2023","0,6895","0,6880","0,6934","0,6870","","0,29%"
"29.11.2023","0,6875","0,6816","0,6883","0,6816","","0,90%"
"28.11.2023","0,6814","0,6846","0,6865","0,6795","","-0,45%"
"27.11.2023","0,6845","0,6866","0,6881","0,6812","","-0,15%"
"24.11.2023","0,6855","0,6866","0,6866","0,6825","","-0,07%"
"23.11.2023","0,6860","0,6861","0,6876","0,6837","","0,07%"
"22.11.2023","0,6855","0,6867","0,6876","0,6821","","-0,13%"
"21.11.2023","0,6864","0,6801","0,6878","0,6783","","1,39%"
"20.11.2023","0,6770","0,6815","0,6849","0,6760","","-0,47%"
"17.11.2023","0,6802","0,6715","0,6812","0,6709","","1,31%"
"16.11.2023","0,6714","0,6704","0,6748","0,6673","","0,07%"
"15.11.2023","0,6709","0,6701","0,6727","0,6700","","0,03%"
"14.11.2023","0,6707","0,6733","0,6736","0,6655","","-0,37%"
"13.11.2023","0,6732","0,6719","0,6779","0,6716","","0,12%"
"10.11.2023","0,6724","0,6770","0,6797","0,6725","","-0,74%"
"09.11.2023","0,6774","0,6747","0,6793","0,6715","","0,44%"
"08.11.2023","0,6744","0,6696","0,6755","0,6690","","0,78%"
"07.11.2023","0,6692","0,6715","0,6738","0,6671","","-0,40%"
