"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","6,1762","6,1775","6,1984","6,1620","","-0,01%"
"28.12.2023","6,1767","6,1783","6,2020","6,1584","","0,01%"
"27.12.2023","6,1758","6,1236","6,1919","6,1132","","0,81%"
"26.12.2023","6,1263","6,1701","6,1808","6,1199","","-0,67%"
"25.12.2023","6,1675","6,1778","6,1869","6,1649","","-0,05%"
"22.12.2023","6,1703","6,1975","6,2294","6,1599","","-0,44%"
"21.12.2023","6,1973","6,2144","6,2298","6,1546","","-0,25%"
"20.12.2023","6,2127","6,1975","6,2161","6,1459","","0,26%"
"19.12.2023","6,1963","6,1922","6,2321","6,1765","","0,10%"
"18.12.2023","6,1904","6,2649","6,2783","6,1849","","-1,08%"
"15.12.2023","6,2578","6,2751","6,3047","6,2559","","-0,28%"
"14.12.2023","6,2751","6,2077","6,2780","6,1905","","1,09%"
"13.12.2023","6,2077","6,2358","6,2442","6,1876","","-0,42%"
"12.12.2023","6,2341","6,2013","6,2456","6,1872","","0,56%"
"11.12.2023","6,1994","6,1821","6,2357","6,1737","","0,20%"
"08.12.2023","6,1873","6,1827","6,1972","6,1473","","0,04%"
"07.12.2023","6,1846","6,1578","6,1895","6,1282","","0,45%"
"06.12.2023","6,1567","6,2117","6,2175","6,1521","","-0,84%"
"05.12.2023","6,2086","6,2453","6,2726","6,1927","","-0,54%"
"04.12.2023","6,2423","6,2050","6,2547","6,1750","","0,66%"
"01.12.2023","6,2016","6,2123","6,2454","6,1729","","-0,15%"
"30.11.2023","6,2107","6,2259","6,2615","6,1965","","-0,21%"
"29.11.2023","6,2237","6,1852","6,2318","6,1709","","0,67%"
"28.11.2023","6,1821","6,1838","6,2063","6,1592","","0,01%"
"27.11.2023","6,1817","6,1762","6,2090","6,1515","","0,06%"
"24.11.2023","6,1780","6,1462","6,1888","6,1374","","0,52%"
"23.11.2023","6,1461","6,1296","6,1659","6,1236","","0,27%"
"22.11.2023","6,1296","6,1458","6,1514","6,0889","","-0,23%"
"21.11.2023","6,1439","6,0719","6,1530","6,0680","","1,22%"
"20.11.2023","6,0698","6,1114","6,1386","6,0619","","-0,71%"
"17.11.2023","6,1132","6,0381","6,1205","6,0177","","1,32%"
"16.11.2023","6,0333","6,0394","6,0703","6,0057","","-0,05%"
"15.11.2023","6,0362","6,0821","6,0836","6,0291","","-0,73%"
"14.11.2023","6,0803","6,0262","6,0859","5,9811","","0,92%"
"13.11.2023","6,0249","5,9894","6,0508","5,9860","","0,58%"
"10.11.2023","5,9904","6,0319","6,0476","5,9854","","-0,66%"
"09.11.2023","6,0301","6,0332","6,0452","6,0007","","-0,01%"
"08.11.2023","6,0308","5,9935","6,0448","5,9644","","0,64%"
"07.11.2023","5,9926","6,0310","6,0351","5,9708","","-0,63%"
"06.11.2023","6,0304","6,0630","6,0942","6,0226","","-0,58%"
"03.11.2023","6,0657","6,0438","6,0725","5,9968","","0,35%"
"02.11.2023","6,0443","6,0201","6,0574","6,0131","","0,44%"
"01.11.2023","6,0179","6,1214","6,1247","6,0149","","-1,64%"
"31.10.2023","6,1185","6,1430","6,1620","6,1016","","-0,37%"
"30.10.2023","6,1414","6,0836","6,1518","6,0297","","1,02%"
"27.10.2023","6,0794","6,0476","6,0852","5,9875","","0,55%"
"26.10.2023","6,0461","6,0509","6,0774","6,0299","","-0,05%"
"25.10.2023","6,0491","6,0714","6,0918","6,0412","","-0,32%"
"24.10.2023","6,0683","6,1396","6,1625","6,0682","","-1,13%"
"23.10.2023","6,1377","6,1217","6,1528","6,1068","","0,32%"
"20.10.2023","6,1179","6,1492","6,1870","6,1090","","-0,47%"
"19.10.2023","6,1467","6,1434","6,1621","6,1101","","0,08%"
"18.10.2023","6,1417","6,1424","6,1651","6,1255","","0,04%"
"17.10.2023","6,1394","6,1561","6,1578","6,1076","","-0,26%"
"16.10.2023","6,1551","6,1681","6,1912","6,1463","","-0,20%"
